Fernando Muslera, Galatasaray
Cédric Carrasso, Galatasaray
Angelo Palombo, Galatasaray
Victor Nelsson, Galatasaray
Kaan Ayhan, Galatasaray
Sacha Boey, Galatasaray
Abdulkerim Bardakcı, Galatasaray
Kazımcan Karataş, Galatasaray
Lucas Torreira, Galatasaray
Sergio Oliveira, Galatasaray
Kerem Aktürkoğlu, Galatasaray
Barış Alper Yılmaz, Galatasaray
Yunus Akgün, Galatasaray
Mertens, Galatasaray
Wilfried Zaha, Galatasaray
Mauro Icardi, Galatasaray
Halil Dervişoğlu, Galatasaray
Nicolo Zaniolo, Galatasaray
